name,address,birthdate,phone
Ralph Rivera II,171 Park Ln NE,1971-03-18,530-393-4767
Linda Wheeler,84-65 54th Ave,1994-12-02,680-228-7100
Mallory Randolph,159-37 84th St,1961-08-28,315-304-4843
Joseph Romero,1268 Clay Ave,1989-10-10,716-431-9124
Michael Bell,732 Main St,1982-05-28,315-945-7901
Robin Marks,26-40 23rd St,1979-02-11,516-256-5220
Alexandra Salazar,59B E Tremont Ave,2001-04-17,607-699-4619
Justin Huffman,11A Mac Dougal Alley,1995-11-18,914-338-9996
Andrea Myers,227½ N 6th St,1988-01-15,914-218-6086
Lori Romero,256A Kingston Ave,1970-03-14,838-509-9948
Laura Rodriguez,26 Lefferts Pl,1986-03-08,838-374-6980
Bill Wright Jr.,31-29 106th St,1986-09-30,914-630-6728
Amanda Smith,104-36 Guy R Brewer Blvd,1961-06-17,585-861-4867
Jacob Zimmerman,1367 Drumgoole Rd W,1981-11-05,315-876-1182
Alejandro Fowler,158-46 Foch Blvd,1990-01-25,680-883-4589
Denise Li,159 Glen St,1987-10-01,315-495-5875
Elizabeth Roberts,206B W 30th St,1947-06-18,585-219-8348
Christine Sanders,68-38 Parsons Blvd,1989-03-28,914-261-1006
Joseph Wheeler,2709 Heath Ave,1958-05-22,585-304-2407
Darren Freeman,2193B Surf Ave,1937-04-26,838-608-4355
Sydney Lewis,188 Irwin St,1996-11-06,212-607-9747
Nathaniel Green,37-18 163rd St,1971-05-17,838-787-4960
Shelly Wallace,556 Prospect Ave,1971-11-01,516-733-3191
Karen Alicia Black,245 E 28th St,1971-05-17,914-224-5471
Lisa Hogan,850 NW 49th Rd,1956-08-11,727-204-6265
Lisa Gilmore,1354A College Ave,1963-05-25,607-771-4306
Matthew Miller,4173 Aspen Dr NE,1981-03-14,970-646-2722
Adrienne Klein,5708 Ave K,1990-10-23,838-240-4312
Anne Spence,3110 SE Park Ave,1964-07-28,838-624-9849
Anthony Hernandez,1932 Park Pl N,1949-06-09,512-560-5257
Jeffery Fuentes,869A Southern Blvd,1991-07-16,585-566-5942
Latasha Stephens,73-68 213th St,1979-09-13,516-559-7845
Daniel Green,228 5th Pl S,1998-11-29,937-315-7395
Eric Escobar,405 Brooklyn Ave,1987-11-09,516-630-9979
Levi Sanchez,100 SE Park Rd,1952-11-09,618-835-9354
Grace Patel,4663 13th Ave S,1965-11-14,315-882-4326
Gail Lozano,185-13 Radnor Rd,1953-10-06,646-864-8679
Jerry Jones,4152 77th Dr,1960-07-18,407-331-2617
Gabrielle Garcia,1365 Teller Ave,1984-03-29,516-923-4639
Erica Williams,760 64th St,1943-04-01,315-736-5528
Paul Gamble,1266-51 Cooper Ave,1987-08-08,516-378-9375
William Lopez,608B Marcy Ave,1981-04-08,585-602-4681
Jason Burke,3698B Barnes Ave,1993-07-25,315-697-3522
Ronald Owens,832 St Johns Pl,1988-03-01,680-673-9757
Amy Black,69A E 115th St,1966-01-07,716-747-5594
James Arnold,70-17 88th St,1947-12-09,516-720-5827
Kimberly Becky Bush,25A Spencer Pl,1963-06-14,585-258-6960
Larry Skinner,226B W 146th St,2001-05-29,315-679-7697
Candice Owens,206 E 96th St,1957-11-17,631-559-8509
Michelle Wilson,341 Jefferson St,1959-02-26,838-919-3007
Sharon Alvarez,88-82 214th St,1958-10-22,332-212-8643
Justin Fisher II,206A W 74th St,1980-06-13,838-356-9960
Clinton Vasquez,4727 Beach 47th St,1975-01-08,585-884-4417
Juan Lopez,183A Malcolm X Blvd,2001-02-16,585-569-7172
Paul Fernandez,2489C Valentine Ave,1956-08-11,315-542-0983
Katrina Acosta,50A Greene St,1963-06-17,516-547-3201
Arthur Anderson,1829 Park Ln,1990-12-30,920-541-5602
Patricia Higgins,425A Pulaski St,1976-04-23,838-888-6142
William White,2877 E 8th St,1988-07-26,408-299-3492
Marissa Ferguson,1258 Park Ave,1990-04-03,973-862-8790
Juan Mcclain,590 Park Way,1954-02-28,917-253-4230
Christina Mcdonald,68-17 74th Ave,1966-01-07,347-407-0247
Patricia Bowers,3067 Heath Ave,1968-01-29,934-400-6075
Jacob Padilla,1262 41st St,1970-05-27,212-651-2921
Hannah Kristen Griffin,133-32 114th St,1949-09-24,838-248-1873
Gabrielle Roberts,137 Hale Ave,1989-08-03,914-494-4173
Sara Palmer,201 Hale Ave,1952-01-07,315-865-4548
Roberta Powell,900 E 149th St,1992-05-16,516-895-1831
Melissa Wright,494A Ovington Ave,1986-11-26,838-208-3563
Elizabeth Rodriguez,1273 E 16th St,1947-12-26,315-693-6281
Danny Pitts,207 E 87th St,1986-01-02,914-879-0266
Jessica Davis,89-33 81st Rd,1956-04-05,516-355-6097
Justin Richards,83-47 214th St,1977-12-25,631-565-0591
Keith Hernandez,595 SW Park Ln,1998-03-31,909-875-3276
Brittany Snyder,1381A Hobart Ave,1983-12-02,917-928-1140
Katelyn Gonzalez,2313 E Maple Dr,1996-06-10,269-281-7266
Lisa Chavez,2045 Rear Pacific St,1963-05-12,315-506-0215
Amanda Fisher,1405 S Park Rd,1962-08-16,763-335-0350
Jessica Jennifer Kennedy,2862 Park Ln,1967-10-15,630-289-7167
Alexandria White,481 W 148th St,1967-06-15,716-810-2473
Amy Smith,10-86 Watjean Ct,1995-06-09,631-987-8816
Oscar Salazar,1273A Bergen St,1984-07-07,516-380-9323
Ryan Medina,249B W 57th St,1952-11-28,914-391-1644
Mark Wilson,1229 Rear Mcdonald Ave,1993-07-05,838-607-1370
Connie Ortiz,1528 SW Park Ln,1961-12-13,914-562-5504
Amber Carolyn Johnson,79A Martense St,1977-06-28,516-496-4736
Michael Valenzuela,1395 Rhinelander Ave,1986-10-27,838-231-2614
Amanda Cook,2804 N Park Dr,1953-03-31,832-941-7079
Kimberly Schneider,110-13 N Conduit Ave,1981-01-05,315-887-1770
Dana Lopez,2959 13th Ln E,1977-01-20,667-956-5300
David Duncan,7733 Narrows Ave,1994-01-09,516-929-0567
Christopher Barron,1105 E 34th St,1959-05-23,516-496-4528
Patricia Mccoy,193 W 71st St,1949-03-09,585-829-7688
Gerald Palmer,974 N 1st Way,1984-02-12,262-508-3888
Stephanie Baker,759 Aspen St,2001-01-04,970-748-1172
Lisa Larsen,3095 Ave W,2001-10-14,585-618-2927
Catherine Gonzales,1667 E Park Way,1958-03-20,408-732-4281
Jennifer Davis,3659 Cypress St SE,1971-08-20,323-611-7095
Shawn Jensen,2100A Fulton St,1949-09-30,516-516-8273
Jennifer Johnson,1860A Barnes Ave,1951-05-16,516-361-0564
Jacob Bautista,6041G Amboy Rd,1968-10-26,607-243-3146
Hector Dunlap,3872A Broadway,1946-12-19,332-999-8284
Patricia Sweeney,1412 S Dogwood Ave,1990-05-27,336-360-4568
Ryan Clark,638 Thwaites Pl,1970-04-05,914-559-7578
Lee Knight,110 W 68th St,1978-09-25,315-229-3010
Sean Evans,334B Myrtle Ave,1961-07-20,716-658-0709
Christopher Tran,3058 Park Ln,1961-06-13,952-588-4759
Brian Barker,4130 18th Ave,1984-03-12,516-479-8757
Joshua Rivera Jr.,3520 Rear Edson Ave,1949-07-21,315-731-9807
Mary Lynch,287B 2nd Ave,1956-07-02,680-680-3791
Jody Ashley White,141 E 94th St,1989-06-25,680-364-4317
Lindsay Thompson,35-3 Tennis Pl,1945-06-21,838-864-8198
Ryan Bradshaw,63-55 Grand Central Pkwy,1984-01-24,585-853-4147
Ethan Jones,230 Seneca Ave,1956-04-23,516-844-4747
Paul Johnson,216 SE Park St,1999-09-17,409-963-8110
Christian Wright,552 Redwood Pl N,1959-05-20,669-245-4499
David Green,2653 N Maple Dr,1984-10-28,570-346-9588
Matthew Dickerson Jr.,137-25 78th Dr,1947-06-05,516-253-1857
Wendy Johnson,2017 68th Ave S,1947-12-08,689-588-8348
Jason Golden,1065 Rear Liberty Ave,1976-07-04,838-498-9769
Mary Flores,437½ Pulaski St,1954-10-02,838-728-1978
Emily Clark,226 Park Ln,1973-06-23,326-546-5746
Susan Goodman,575 3rd Ave E,1995-08-14,561-698-3020
Rodney Pacheco,551A Ave C,1993-01-18,516-751-7272
Glenda Henderson,3159B Jerome Ave,1963-04-09,631-825-9119
Leah Harris,2-45 Astoria Blvd,1969-12-14,845-327-0508
Jamie Nguyen,97 W Burnside Ave,1992-02-02,347-892-2160
Frank King,249W Canal St,1950-04-26,716-922-7865
Robert Huff III,1620 SW 13th St,1952-05-27,601-933-3153
Karen Stevens,125 Elmwood Ave,1988-08-18,680-665-0071
James Mcfarland,1493 W 4th St,1992-09-17,716-947-2839
David Winters Jr.,88-7 64th Rd,1978-06-06,838-914-9889
Angelica Hernandez,3447 Netherland Ave,1982-07-26,838-715-8027
Amber Green,1764B E Tremont Ave,1963-06-08,838-325-2065
Douglas Gonzalez,5820A 13th Ave,1953-01-23,631-641-5484
Jesse Fuller,2346 Rear Baychester Ave,1942-01-14,585-976-4063
Stacey Brown,2204 E 60th Pl,1958-06-23,315-368-6797
James Brown,65 St Nicholas Terrace,1967-09-22,585-789-7881
Lisa King,665 Sackett St,1996-02-23,516-961-9453
Barbara Morris,637 E 2nd St,1970-11-10,845-456-5657
Andrea Oneal,3015 Park Ave,1982-11-08,530-645-3423
Jeffery Porter,1961 E 68th St,1948-07-18,646-892-4070
Melissa Moran,25-36 14th Pl,1994-07-20,332-207-3352
Jane Schmitt,1207A Park Pl,1994-02-27,347-563-5974
Deborah Ayala,134B E 85th St,1959-01-26,315-634-0443
Richard Perez,581 S Park St,1960-04-30,447-627-8680
Sandra Arellano,935 61st St,1959-04-06,315-469-5452
Raymond Gamble,1493B St Nicholas Ave,1956-05-16,716-992-8448
Jack Ford,3170 E Park Dr,1956-04-14,323-755-8458
Rebecca Moreno,36-15 88th St,1977-03-25,631-567-8565
Melissa Barrera,1890B 3rd Ave,1963-06-08,516-715-9566
Angela Michelle Wiggins,228-7 129th Ave,1957-07-07,914-473-6301
Sam Brown,4376 NE Park Ave,1994-06-06,609-701-7233
David White,3686 W Park Rd,2000-10-12,909-629-4176
Justin Deleon,765 Rear Euclid Ave,1988-02-23,607-379-1403
Jeffrey Jones,249A E 118th St,1984-10-11,838-800-8923
Michael Smith,1322 Ogden Ave,2001-10-17,914-673-0708
Doris Nash,52-35 228th St,1980-07-26,516-444-5244
Jasmine Mcdaniel,2676 Fulton St,1969-11-17,332-465-8082
Shelby Mosley,2121 N 7th Way,1953-12-16,615-737-6959
Nancy Brooks,859 Elton Ave,1967-10-27,315-862-0372
Chad Booth,51 La Guardia Ave,1992-04-10,212-957-1990
Nicole Hill,2902 Frederick Douglass Blvd,1947-07-09,212-745-4135
Randy Harris,1527 2nd Ln,1962-04-19,408-567-4724
Lauren Shaw,6907 20th Ave,1947-01-17,646-362-6386
Alexander Phillips,2926 Gar Frederick Douglass Blvd,1967-02-02,838-407-3504
William Holt,8078A 20th Ave,1968-07-17,516-559-4974
Erik Hayes,125 Jane St,1959-10-22,631-449-2917
Wendy Schmidt,64-31 44th Ave,1950-04-20,516-461-0395
Jessica Yang,136 Hawthorne St,1998-11-15,518-249-7827
Elizabeth Mayer,123-41 Grayson St,1961-10-02,914-427-9946
Hannah Houston,43-15 Byrd St,1981-03-16,585-510-4714
Richard Park,870 Kinsella St,1977-12-23,838-564-4513
Gary Hudson,1062 Ogden Ave,1994-02-05,929-538-2717
Deborah Wagner,1185 68th Way,1960-11-17,321-906-2268
Nicole Lopez,1050 Faile St,1977-01-18,212-976-9327
Megan Nelson,149-4 Tahoe St,1947-08-02,838-980-7524
James Nelson,400 E 9th St,1953-09-05,631-490-3007
Billy Richardson,223A E 50th St,1955-07-09,516-910-0870
Jonathan Wiley,1874 N 9th Rd,1969-01-31,615-514-8296
Travis Chan II,314 W 120th St,1952-06-01,516-906-5910
Nicholas Richmond,4090 Apache Rd,1959-12-04,480-410-4659
Aaron Clarke,256 Coleridge St,1988-07-03,516-422-3161
Laura Williams,4745 N 5th Ave,1980-04-22,903-976-3459
Thomas Salinas,2445A Walton Ave,1998-04-06,838-559-8440
Alexis Bennett,2731 W 36th St,1949-07-22,631-432-0628
Sarah Tapia,1859 E Park Way,1962-07-19,765-248-4097
Angela Newman,58-12 225th St,1938-06-17,315-489-0053
James Zavala,1330 Lee Dr W,1989-03-27,948-470-3227
Alison Evans,1915½ 1st Ave,1959-02-25,315-685-4098
Nathaniel White III,1343B Ogden Ave,1946-05-30,347-513-7784
Peter Ellison,1520 40th St,1980-06-02,516-353-4053
Erin Ramirez,33-26 200th St,1959-07-20,212-751-0018
Allison Fox,181 Rear Spring St,1950-01-10,315-294-5199
Kevin Parrish,22-24 99th St,1972-12-05,914-643-0614
Jared Ibarra,588½ Victory Blvd,1987-08-16,516-343-6747
Donna Torres,3676 Park Pl NW,1994-06-17,279-519-1445
Joseph Glover,2810 Ave Y,1962-10-06,315-577-9057
Omar Newton,883 Rear Mcdonald Ave,1959-01-25,516-284-5603
Maria Anne Smith,1565 Sedgwick Ave,1990-07-08,212-276-0091
Janice Khan,3187 W 2nd Pl,1960-11-12,615-796-8521
James Li,43-2 20th Rd,2000-07-24,585-673-9555
Dennis Brown,5089A Broadway,1960-06-17,914-411-6936
Michael Hall,901 E 78th St,1991-01-23,680-550-3856
Paul Brown,24 Greencroft Ave,1947-03-30,838-468-5813
Robert Reyes Jr.,1563 Ave X,1984-02-06,347-737-2401
Michael Shields,1815 NE 6th Dr,1964-06-13,551-440-0591
Angela Jennifer Hawkins,78-59 255th St,1970-11-30,838-824-9278
Brittany Bishop,4662 8th St,1937-10-18,986-475-2528
Nicholas Patterson,2127 Vyse Ave,1972-07-07,516-813-1512
David Ramos,1063A Clay Ave,1977-01-27,315-383-3901
James Hale,104 W 78th St,1965-08-11,516-569-0314
Amy Dominguez,57-50 74th St,1981-06-30,914-808-4162
Alexis Huang,44-37 72nd St,1988-02-25,845-791-1438
Catherine Olsen,53-12 97th St,1980-04-12,838-374-5051
Michael Dixon,1688 SW 11th Way,1978-04-13,412-483-4254
Tanya Smith,112 W 119th St,1988-12-01,516-638-2913
Bradley Suarez,1089 SE Park Ave,1958-11-10,909-955-9319
Katherine Walker,149 Locust Ave,1961-07-08,838-970-4605
Susan Medina,228½ W 105th St,1938-09-29,315-819-3188
Nathan Boyd,3117A Arthur Kill Rd,1986-02-16,516-740-8231
Leonard Morales,1099 W 8th Way,1973-12-30,702-785-5071
Bryan Lloyd,3861 Lee Ave SE,1963-05-21,703-411-7763
Francisco Washington,40½ E 48th St,1998-03-03,516-460-5084
Donald Malone,2801-1 86th St,1986-02-16,838-419-5413
Sean Nelson,2262 Ave X,1946-01-22,347-271-6459
Eric Hill,449 SW 11th Ln,1977-06-25,717-626-8550
Margaret Escobar,137-44 173rd St,1962-11-20,607-819-0427
April Werner,86-21 Whitney Ave,1947-06-30,838-591-8147
Matthew Aguirre,79-8 Ankener Ave,1939-02-14,631-493-7632
Steven Hernandez,2782 NW Park Way,2000-10-19,447-998-2967
David Mendez,349 W 31st St,1961-08-24,727-789-3822
Laura Wong,182A Dyckman St,1994-06-19,516-885-2567
Ryan Klein,39-54 29th St,1990-03-28,838-519-9299
Alyssa Fuller,8732 Ave A,1995-08-10,914-540-6264
Cheryl Jones,3128 Park Dr N,1950-09-28,417-940-7017
Valerie Gibson,706 Thomas S Boyland St,1992-10-21,631-700-1802
Jeremy Wilcox,81 Ridge St,1960-09-01,716-878-7240
Roy Wright,129 Ocean Ave,1984-05-13,315-733-5352
Brandon Williams,254 NE Park Way,2000-08-29,409-907-6337
Brandi Davis,2538 Ave P,1999-01-27,914-990-2135
Lisa Turner,1243 College Ave,1953-12-12,929-951-9871
Timothy Villanueva,731B Westwood Ave,1958-07-18,516-873-5265
David Harris,88 St Marks Pl,1959-10-22,838-262-5264
Justin Pena,689 Columbus Ave,1969-01-02,914-666-1491
Christopher Weaver,131-4 94th St,1993-03-09,680-237-4867
Michelle Vasquez,45-2 102nd St,1946-11-10,516-251-4356
Raymond Cortez Jr.,1718 Van Buren St,1964-07-18,516-204-4895
Beth Hicks,330A 2nd Ave,1967-10-29,838-495-5313
Sarah Vaughn,438-23 Cross Bay Blvd,1944-10-30,680-519-6513
Tyler Mcbride,228-7 49th Rd,1998-07-11,516-941-3281
Stephen Arellano,3155 1st Ln,1947-10-25,563-770-0074
Travis Hendrix,190-60 Williamson Ave,1986-09-29,516-301-7697
William Morris,46-25 100th St,1941-02-09,516-783-8067
Tyler Hansen,1840A Wallace Ave,1980-07-25,914-380-7004
Joseph Brown,23-19 38th Ave,1956-11-20,680-709-5757
Jack Kerr,479 49th St,1978-05-08,347-861-6531
John Salazar,25-58 79th St,1983-04-17,315-853-7794
Sara Margaret Munoz,132-17 9th Ave,1987-11-18,631-506-3940
Yesenia Ellis,2660 Rear Harway Ave,1982-01-23,585-930-0301
Tim Daniels,210A 18th St,1992-12-23,516-584-7054
Jenny Anderson,2008 Dogwood Ln S,1956-11-30,762-749-1666
Meghan Harvey,1312 Grand Concession,1966-10-01,516-924-2512
Kenneth Johnson,1849 W Magnolia Pl,1974-12-19,228-920-1053
Aaron Shaffer Jr.,1392 NE Park St,1991-01-08,447-696-7418
Jorge Colon,100-89 Union Turnpike,1958-12-06,585-240-2092
Shannon Cook,127B W End Ave,1951-05-04,838-608-5859
Joshua Richards,397B Stuyvesant Ave,1980-08-27,646-694-0202
David Dunn,50A Market St,1981-07-26,585-312-4820
Levi Avery,82-19 Lefferts Blvd,1962-06-18,607-891-6306
Jeffery Guzman,1491 W 4th St,1993-07-30,631-759-2138
Curtis Chang,802A E 214th St,1997-05-14,716-451-6273
Jennifer Hart,2607 Ave X,1981-03-29,516-450-2962
Robert Wood,698 E 149th St,1988-10-11,212-210-4158
Kayla Solis,368 Prospect Ave,1988-10-12,929-877-1866
Walter Shepherd,5A Cooper Pl,1959-09-18,516-727-5611
Lisa Torres,3326 NE Oak Dr,1973-08-01,918-661-2351
Kristina Bennett,399 Beach 48th St,1993-01-24,516-290-5092
Anthony King,456 Rear Maspeth Ave,1979-02-20,914-512-5626
Makayla Burke,274C E Tremont Ave,1971-12-13,516-637-6250
Jonathan Garcia,272 W 124th St,1981-01-17,646-245-9994
Michael Neal,1374 19th Ave,1964-05-04,850-641-6733
Brendan Graves,513C King Ave,1965-09-22,607-425-6700
Brittany Herman,31-32 Crescent St,1938-01-01,516-526-3221
Jesse Torres,332C Hart St,1958-05-09,838-445-6528
Bradley Ramirez,1856A White Plains Rd,1959-01-18,332-580-1739
Jessica Ball,216 1st Dr N,1963-07-02,301-644-2736
Dennis Cline,223 Sullivan Pl,1956-01-17,838-655-1044
Peter Stevens,629 Hegeman Ave,1944-05-01,914-880-0815
Brittney Montgomery,298 Waverly Ave,1940-12-04,914-808-2703
Kimberly Calderon,91-14 93rd Ave,1955-08-21,716-873-9025
Robin Higgins,29-65 49th St,1953-11-11,516-395-1121
Michael Riddle Jr.,2729 NW Park Ln,1961-11-04,713-742-4016
John Cannon,230 Midwood St,1963-02-18,838-756-4205
Mary White,1400A Putnam Ave,1975-09-28,212-395-2676
Kathleen Wolfe,436 E 138th St,1951-11-19,315-917-2298
Brandon Ellison,61 Hegeman Ave,1990-09-03,917-223-2240
Connor Moore,299 Vanderbilt Ave,1942-05-05,585-527-3950
Alicia Ramirez,22 Fiske Pl,1993-11-21,315-529-2903
Megan Larson,269 E 99th St,1963-10-29,838-397-1998
Kevin Jones,56A E 48th St,1977-12-06,607-864-4892
Stephen Vega,1637A Watson Ave,1992-02-17,838-960-8006
David Booth,874A E New York Ave,1972-08-25,212-803-2075
Robert Brown,71-48 Yellowstone Blvd,1948-03-22,516-406-3456
Antonio Coleman,1705 S 4th Way,1998-10-01,986-607-7370
Scott Adams,40 Fulton St,1938-05-29,838-503-8633
Lisa Robinson,1253 1st Rd,1967-11-03,442-460-1856
Robert Carpenter II,544 4th Ave,1961-12-14,878-867-0563
Danielle Johnson,217 Tapscott St,1957-01-11,516-758-7764
Samuel Ward,1305A Vyse Ave,1982-01-30,914-892-8091
Lori Wilson,492 W 56th St,1979-08-23,838-554-5300
Thomas Gonzales,1684 Foster Ave,1953-01-16,516-640-2181
Ryan Johnson,1345 Ralph Ave,1981-10-02,607-525-5434
John Brown,1286 Park Pl NE,1982-06-30,872-254-9701
Scott Martinez,50-3 58th Ln,1980-11-21,914-950-9657
Theresa Cobb,336A W 84th St,1954-09-05,838-268-8799
Eric Smith,2765 Gar Frederick Douglass Blvd,1967-08-26,315-642-2528
Alicia Weaver,68-21 Woodhaven Blvd,1963-12-17,516-968-5609
Kyle Reed,838½ Knickerbocker Ave,1947-09-08,516-727-4313
Sean Morrison,130 W 89th St,1957-08-29,516-854-1488
Melissa Fisher,677 Rossville Ave,1968-11-02,838-416-9075
Patricia Andrews,121-95 25th Rd,1999-06-26,631-615-1444
Cassandra Tate,902F E 138th St,1988-10-25,516-553-0717
James Mcbride,2507A Broadway,1969-05-01,516-344-2639
Kristin Burgess,707 Main St,1958-09-19,516-999-6931
Patrick Greene,224 Willow Ave,1961-06-18,518-897-0402
Charles Boyd,1038A Lexington Ave,1949-01-09,585-405-2331
Sam Turner,1559 Independence Ave,1992-11-12,716-758-0239
Stephen Rios,1232B St Johns Pl,1964-08-10,585-567-8424
Patricia Walters,2815 Park Dr SE,1974-10-29,317-705-1392
Sarah Moreno,627A W 30th St,2000-09-13,315-450-5757
Mark Johnson,32-43 163rd St,1980-03-15,838-844-4022
Lisa Brock,4336 E Park St,2001-02-08,347-458-4996
Roger Foster,431 E 147th St,1980-12-15,315-663-1925
Maria Stevenson,102 Hinsdale St,1974-12-31,315-537-1850
Amanda Oneill,2003 Ryder St,1979-12-14,845-832-5054
Dawn Bates,1321B Bryant Ave,1981-06-27,516-675-0308
Margaret Hall,3992A Harper Ave,1982-03-11,347-819-0408
Tiffany Barton,149-32 60th Ave,1952-08-28,607-323-7322
Joshua Moore,101-27 Sutter Ave,1947-02-05,516-217-8971
Robert Leblanc,46 W Park Way,2000-05-31,702-556-0158
Kenneth Roberts,102 Steuben St,1989-06-07,607-303-6540
Ryan Morrison,943 Woodrow Rd,1979-08-21,516-224-6086
April Cobb,1592 St Nicholas Ave,1949-08-14,838-426-9084
David Martinez,647 W 176th St,1966-01-06,718-277-8315
Charles Butler,9266-36 Ave M,1994-11-29,212-210-9098
Sherry Green,214-15 47th Rd,1990-08-16,631-296-6739
Alexandra Williamson,257 W 150th St,1975-01-04,315-719-3628
Madison Martinez,47A Adler Pl,1987-03-17,585-237-9568
Jennifer Reed,1109 Park Ave S,1952-05-01,210-976-4493
Rebecca Evans,2096 Oak St,1972-05-03,707-813-0043
Cody Pruitt,1842 10th Ln NE,1968-08-23,920-681-6014
Tiffany Ortega,1846 51st St,1976-03-30,516-567-4069
Brian Perkins,83-10 76th Ave,1991-03-22,631-597-4148
Michael Roberson,15-1 Queens Plz S,1983-02-03,914-376-2342
Cassidy Deleon,4676 SW 6th Pl,1948-04-19,253-273-7748
Sue Benson,8103 24th Ave,1981-05-17,838-357-2198
Anthony Rivers,306A W 136th St,1960-10-27,914-600-5883
Karen Johnston,354½ 19th St,1995-07-27,516-592-6773
Michelle Singh,4659 NE 45th Ln,1950-03-06,448-318-1085
Jenny Smith,1070 Jerome Ave,1981-08-29,631-476-6835
Karl Watts Jr.,2576 Magnolia Pl,1941-01-09,601-618-2744
Andrea Amanda Young,2763 S Park Pl,1958-09-24,641-496-7534
James Willis,152-23 79th Ave,1950-09-24,838-339-3400
Robert Blair,28-19 Gillmore St,1996-11-15,934-386-7131
Caleb Ward,386A Atlantic Ave,1984-06-16,516-219-4680
Brian West,3866 3rd Ave,1979-07-17,808-809-5574
Erika Mayer,365A Central Park W,1971-06-11,332-427-2728
Michael Henderson,223 W 128th St,1958-05-22,332-378-4729
Hannah Lara,41-20 156th St,1984-07-10,838-441-3756
Ann Sandoval,107-37 42nd Ave,1986-09-16,516-512-3133
Donna Harrison,199 Parkside Ave,1970-10-30,631-490-0410
Jennifer Robinson,2361A 84th St,1981-08-01,631-724-6394
Bryan Pope,357 20th St,1959-06-25,516-783-1751
David Cruz,76A W 57th St,1969-08-22,585-913-7163
Alicia Lane,1305B Bay Ridge Ave,1995-03-02,680-607-5718
Crystal Chavez,46A W 131st St,2001-09-11,516-644-8199
Lynn Martinez,3179 Park Rd NW,1973-05-18,530-300-5121
Spencer Jenkins,1217 Clay Ave,1954-06-04,516-425-9716
Laura Mendoza,1096B Amsterdam Ave,1955-06-04,585-798-8932
Charles Robinson,573A 86th St,1996-09-27,680-595-9435
David Adams,822½ Hart St,1974-10-19,680-599-5622
Christopher Walsh,305 Pelton Ave,1955-02-12,680-212-7391
Christopher Davis,932 39th St,1987-04-11,838-320-8686
Jennifer Rodriguez,10 Sylvan Ct,1998-05-19,914-808-0848
Jorge Ferguson II,1785 Caton Ave,1956-06-19,585-392-4499
Nick Reynolds,1754 Maple Ln NW,1948-07-20,859-928-6197
Justin Ritter,1120A Union Ave,1971-06-30,631-472-1587
Kelsey Kennedy,4098 9th Way W,1982-05-03,380-221-6251
Melissa Nolan,3824 Apache Ave N,1963-06-23,480-228-8482
David Underwood,1463 6th Dr NE,1973-08-30,448-648-3392
Daniel Hall,29 Hale Ave,1975-08-01,315-771-6455
Tyler Hernandez,120-72 26th Ave,1964-10-08,607-362-0290
Jose Coffey,2747 E 66th St,1958-06-19,516-664-4986
Rebekah Garcia,1508 Magnolia Pl,1940-10-14,769-473-7182
Heather Turner,78 E 89th St,1994-10-01,914-241-7979
Jessica Leblanc,929 Dogwood Rd NE,1987-04-19,470-941-7322
Joanna Miller,114-56 Taipei Ct,1995-02-17,631-460-9767
Carl Sparks,4421 8th Ave W,1949-10-12,937-448-2900
Michele Evans,2941 Marion Ave,1964-09-30,585-728-4162
Melissa Moore,100 Weirfield St,1984-12-30,716-621-3992
Victoria Collins,680 W Park Rd,1942-11-10,530-464-6557
Nicole Andrews,1090 38th St,1982-07-15,914-490-9316
Brittany Terrell,78-10 157th Ave,1985-12-03,315-435-9164
Brenda King,9268 Skidmore Ave,1999-02-02,315-402-8256
Andre Anderson Jr.,420C E 86th St,1963-03-15,315-635-9360
Jim Duran,80-3 59th St,1990-09-06,516-941-4212
Erica Johnston,308 W 88th St,1953-12-06,838-737-3113
Mackenzie Marshall,475A Columbus Ave,1947-12-29,838-515-8053
Vicki Moon,51-11 Van Loon St,1969-10-28,838-655-1965
Craig Flowers,57 Midwood St,1995-04-23,585-375-0661
Marcus Dixon,3860 W 9th Pl,1991-04-13,585-587-3400
Melissa Mccullough,35 W 52nd St,1978-07-23,838-637-0243
Denise Beard,37 W 170th St,1999-01-14,516-581-7502
Barbara Molina,3561 NW Park Pl,1982-07-15,507-799-5616
Samantha Smith,93 Kosciuszko St,1992-08-21,315-397-1070
Joseph Wilkinson,683D Nereid Ave,1991-06-11,585-359-0938
John Cox,475B Mill Rd,1992-11-07,516-217-2228
Sharon Walters,62 E 2nd St,1979-05-26,516-253-9947
Parker Mays,1952 Mill Ave,1955-06-08,631-390-4390
Julie Donovan,3347 NE Park Rd,1988-12-07,279-204-6860
Jennifer Misty White,47-33 38th St,1951-01-24,315-476-0691
Thomas Gutierrez,93-39 143rd St,1952-09-30,315-986-7575
Tammy Coleman,46-28 210th St,1940-09-05,838-427-2113
Tiffany Spence,679 W 162nd St,1950-08-15,585-768-1826
Brian Williams,278C E Broadway,1958-06-26,516-753-6442
Edward Shaffer Jr.,26 Noll St,1996-08-19,315-489-8916
Nick Andersen,112 N 13th Ave,1983-07-03,521-513-5866
Kristen Williams,98-34 107th St,1983-01-23,929-862-4637
Jared Mendoza,4249 SW 13th Way,1956-03-28,650-737-5813
Haley Gonzalez,9011 Krier Pl,1954-02-14,631-483-6392
Tara Keller,1886B White Plains Rd,1955-03-18,516-897-8360
